code,product_name,nutrition_grades,category_leaf_en
0036632011428,Key Lime Flavored Yogurt,a,Greek-style yogurts
4088700115459,Greek Style Thick & Creamy Natural Yogurt,c,Greek-style yogurts
7501020568622,Beb fresa Lala 100 220g,c,Cow milk yogurts
0852614006509,vanilla chamomile organic cultured coconut,d,Yogurts
0818290015631,Vanilla Ice Cream Protein Beverage,e,Flavoured yogurt drinks
0096619483556,organic GREEK YOGURT plain,a,Greek-style yogurts
0818290010476,Greek Yogurt Vanilla,a,Greek-style yogurts
0898248001411,simple ingredient skyr plain,a,Yogurts
0036632042637,Oikos Pro Vanilla,a,2-milkfat-fortified-yogurt
7613404845806,Mokka Joghurt | Yogourt | Yogurt,c,Yogurt with fruits and sugar
