product_name,brands,nutrition_grade_fr,countries,sugars_100g,fiber_100g,salt_100g,saturated-fat_100g,energy-kcal_100g
cruesly mélange de noix,Quaker,b,Belgium,12.0,10.0,0.0,2.0,462.0
Croustillant Chocolat,Bjorg,c,France,14.0,10.0,0.26,3.4,431.666666666667
Flocons d'avoine,Bjorg,a,Belgium,1.7,11.0,0.02,1.3,363.333333333333
"Muesli Raisin, Figue, Abricot",Bjorg,a,Belgique,14.0,10.0,0.03,0.9,352.0
NESTLE CHOCAPIC Céréales 375g,Nestlé,b,Belgium,19.9,7.7,0.2,1.1,384.0
Special Muesli 30% fruits & noix,Jordans,a,Belgique,17.0,8.8,0.03,2.0,360.0
"Muesli Superfruits Raisins, cassis, cranberry, myrtille",Bjorg,a,Belgium,13.0,10.0,0.04,0.857142857142857,358.571428571429
NESTLE CHOCAPIC BIO Céréales - Boite de 375g,Nestlé,b,Belgium,19.9,8.2,0.2,1.6,390.0
Weetabix,Weetabix,a,Belgium,4.27,10.1,0.26,0.533,362.666666666667
Country Crisp 4 noix,Jordans,c,Belgique,18.0,6.1,0.03,2.6,465.0
Muesli avoine chocolat bio,Bjorg,a,Belgium,8.2,10.0,0.1,3.3,386.0
CORN FLAKES,Kellogg's,d,Belgique,8.0,3.0,1.1,0.2,376.666666666667
Cruesli Chocolat noir,Quaker,c,Bélgica,16.0,10.0,0.48,4.9,455.0
Flocons d'avoine complète,Quaker,a,Belgique,1.1,9.0,0.01,1.5,375.0
FIOCCHI D'AVENA,CROWNFIELD,a,Belgien,0.7,10.0,0.03,1.3,370.0
"Muesli bio 36% fruits, noix & graines",Jordans,c,Belgium,18.9,8.5,0.03,2.8,373.0
Muesli Croustillant Noix de pécan & noix du Brésil,Quaker,b,Bélgica,13.0,13.0,0.24,1.8,420.0
NESTLE CHOCAPIC Céréales 645g,Nestlé,b,France,19.9,7.7,0.2,1.1,384.0
Country Crisp - Chocolat noir 70% cacao,Jordans,d,France,22.0,5.8,0.03,3.8,446.0
Country Crisp 4 Baies,Jordans,c,France,20.0,6.0,0.03,1.8,432.0
Granola Chocolat,Bjorg,c,Belgium,12.0,7.5,0.01,3.1,420.0
Croustillant 3 noix,Bjorg,b,France,14.0,9.9,0.02,2.1,486.666666666667
Copos de Avena extra suaves,Bruggen,a,Alemania,0.7,10.0,5e-05,1.3,367.5
Miel Pops,KELLOG'S,c,France,22.0,4.6,0.4,0.1,384.0
Crispy Minis Choco,Weetabix,b,Belgium,17.0,10.0,0.16,2.25,386.0
Muesli croustillant tradition,Terres et Céréales,c,France,20.0,5.9,0.05,1.7,440.0
