category,helpful_votes
user research,47
user research,47
user research,47
research repository,47
usability testing,47
research repository,47
research repository,47
usability testing,47
research repository,47
usability testing,47
research repository,47
collaborative whiteboard,46
user research,46
research repository,46
collaborative whiteboard,46
user research,46
field research,46
usability testing,46
collaborative whiteboard,46
user research,46
research repository,46
collaborative whiteboard,45
research repository,45
research repository,45
collaborative whiteboard,45
research repository,45
usability testing,45
usability testing,45
usability testing,45
user research,45
research repository,45
usability testing,45
field research,44
usability testing,44
collaborative whiteboard,44
user research,44
research repository,44
collaborative whiteboard,44
collaborative whiteboard,44
collaborative whiteboard,43
field research,43
field research,43
field research,43
research repository,43
collaborative whiteboard,43
research repository,43
field research,43
collaborative whiteboard,43
field research,43
field research,43
