product_name,brands,nutrition_grade_fr,countries,sugars_100g,fiber_100g,salt_100g,saturated-fat_100g,energy-kcal_100g
Weetabix,Weetabix,a,France,4.21052631578947,10.0,0.256578947368421,0.526315789473684,357.894736842105
cruesly mélange de noix,Quaker,b,Belgium,12.0,10.0,0.0,2.0,462.0
Weetabix,Weetabix,a,France,4.0,9.5,0.24375,0.5,340.0
Flocons avoine,LIDL,a,Belgien,0.7,10.0,0.03,1.3,372.0
Flocons d'avoine,Bjorg,a,Belgium,1.7,11.0,0.02,1.3,362.0
Croustillant Chocolat,Bjorg,c,France,14.0,10.0,0.266666666666667,3.33333333333333,431.666666666667
Weetabix produit à base de blé complet 100%,Weetabix,a,Belgique,4.26666666666667,10.1333333333333,0.26,0.533333333333333,362.666666666667
Wheat Bisks,Harvest Morn,a,United Kingdom,4.47368421052632,10.0,0.256578947368421,0.526315789473684,353.0
"Muesli Raisin, Figue, Abricot",Bjorg,a,Belgique,14.0,10.0,0.03,0.9,352.0
Special Muesli 30% fruits & noix,Jordans,unknown,Belgium,17.0,,0.03,,362.0
Quick oats,Quaker,a,Spain,1.0,9.0,0.0,1.5,375.0
"Muesli Superfruits Raisins, cassis, cranberry, myrtille",Bjorg,a,Belgium,13.0,10.0,0.04,0.9,358.0
Corn Flakes,Kellogg's,d,Belgique,8.0,3.0,1.1,0.2,378.0
Flocons d'avoine complète,Quaker,a,Belgique,1.1,9.0,0.01,1.5,375.0
Country Crisp 4 noix,Jordans,c,Belgique,18.0,6.1,0.03,2.6,465.0
simply nutty muesli,dorset cereals,a,United Kingdom,14.2,8.6,0.03,1.1,376.0
BITESIZE SHREDDED WHEAT,Nestle,a,United Kingdom,0.7,12.5,0.05,0.5,367.0
Super Seedy & Nutty Granola,Bio & Me,a,United Kingdom,9.6,14.4,0.03,2.2,402.0
Wheat Biscuits,Tesco,a,en:United Kingdom,4.47368421052632,10.0,0.256578947368421,0.526315789473684,357.894736842105
Muesli avoine chocolat bio,Bjorg,a,Belgium,8.2,10.0,0.1,3.3,387.0
Malt Wheats,Tesco,a,France,10.0,11.0,0.26875,0.25,362.5
Muesli,Alpen,b,United Kingdom,18.0,8.0,0.28,0.9,370.0
Crispy Minis Chocolate Chip,Weetabix,b,United Kingdom,17.0,10.0,0.2,2.25,385.0
NESTLE CHOCAPIC BIO Céréales 375g,Nestlé,b,Belgique,19.9,8.2,0.2,1.6,390.0
Céréales Chocapic,Nestlé,c,France,22.4,7.5,0.22,2.0,388.0
Low Sugar Nuts & Seeds Granola imp,Lizi’s,a,en:United Kingdom,2.9,10.0,0.03,2.6,447.0
Country Crisp - Chocolat noir 70% cacao,Jordans,d,France,22.0,5.8,0.03,3.8,446.0
Jumbo Porridge Oats,Kavanagh's,a,España,0.25,9.75,0.05,1.0,360.0
Weetabix,Weetabix,a,France,4.1025641025641,9.74358974358974,0.25,0.512820512820513,348.717948717949
original shredded wheat,Nestlé,a,France,0.7,12.2,0.05,0.5,360.0
Wholegrain Wheat Bixies,Crownfield - Lidl,a,Ireland,3.0,9.5,0.225,0.5,362.5
Cruesli Chocolat noir,Quaker,c,Bélgica,16.0,10.0,0.48,4.9,455.0
Country Crisp 4 Baies,Jordans,c,France,20.0,6.0,0.03,1.8,432.0
Irish Organic Jumbo Oats,Flahavan's,a,Royaume-Uni,1.0,8.25,0.0125,1.0,370.0
Copos de avena,Brüggen,a,Bulgaria,0.7,10.0,0.02,1.3,375.0
Oat so Simple Original,Quaker,a,en:United Kingdom,1.11111111111111,8.88888888888889,0.0,1.11111111111111,370.37037037037
NESTLE CHOCAPIC Céréales 375g,Nestlé,b,France,19.9,7.7,0.2,1.1,384.0
Hafer Flocken Zart,Crownfield,a,Áustria,0.8,9.7,0.0,1.1,371.0
Corn Flakes,Crownfield,d,France,3.0,1.9,1.95,0.6,386.0
All-Bran Original,Kellogg,c,Ireland,18.0,27.0,0.95,0.7,
Bran Flakes Malty Crunch,Tesco,a,France,10.2,15.7,0.59,0.5,352.0
Simply Delicious Muesli,Dorset Cereals,b,Netherlands,14.7,9.0,0.03,1.1,368.0
Bran Flakes,Kellogg's,b,France,14.0,17.0,0.66,0.4,358.0
Simply Fruity muesli,Dorset cereals,b,United Kingdom,20.0,7.33333333333333,0.0444444444444444,0.666666666666667,348.888888888889
Fitness Nature Céréales complètes,Nestle,a,Belgique,8.3,8.5,0.56,0.6,368.0
Avena crunchy,Hacendado,a,España,4.6,11.0,0.2,1.0,390.0
Muesli Croustillant Noix de pécan & noix du Brésil,Quaker,b,Bélgica,13.0,13.0,0.24,1.8,420.0
SIMPLY GRANOLA WITH A HINT OF HONEY,JORDANS,c,United Kingdom,17.0,6.3,0.03,1.5,420.411089866157
Harvest Morn Wheaties Original,Harvest Morn,a,United Kingdom,10.9,13.3,0.27,0.2,370.0
Special Flakes Classic,Crownfield,a,France,8.8,8.1,0.5125,0.3,386.0
Scott's Porage Oats Original 1000g,Scott,a,France,,,,,
Rice Krispies,Kellogg’s,c,United Kingdom,8.0,3.0,0.9825,0.333333333333333,390.0
"Low Sugar, Naturally Gut-Loving Granola",Bio & Me,a,en:gb,7.9,17.0,0.06,3.7,447.0
Copos de Avena / Fiocchi d'Avena,Carrefour,a,Belgique,0.7,10.0,0.0,1.3,372.0
Shreddies,Nestle,b,en:gb,13.0,12.0,0.72,0.3,364.0
Bran Flakes,Crownfield,b,Bélgica,13.2,17.2,0.63,0.5,362.0
Avena Crunchy Cacao,Hacendado,a,Portugal,9.0,11.0,0.18,1.6,393.0
Flocons d'avoine complète,Quaker Oats,a,France,1.1,9.0,0.01,1.5,375.0
Corn Flakes,Kellogg's,d,United Kingdom,8.0,3.0,1.1,0.2,378.0
Cheerios Multigrain,Cheerios,c,United Kingdom,10.0,2.7,0.83333,1.0,383.3333
kelloggs corn flakes,Kelloggs,d,Ireland,8.0,3.0,1.1,0.2,378.0
Wheat Biscuits,By Sainsbury's,a,en:gb,4.4,10.0,0.28,0.6,358.0
Nutty Granola,deliciously ella,c,Ireland,16.0,8.2,0.22,2.6,465.0
Alpenmüsli The Original Swiss Style,Weetabix,c,United Kingdom,21.0,7.7,0.25,0.9,374.0
Crunchy Oat Granola Raisin & Almond,Jordans,c,France,21.0,6.2,0.03,1.5,416.0
Corn Flakes 0% azúcares añadidos,PicaHado,c,España,0.9,4.4,1.0,0.4,373.0
Miel pops,KELLOG'S,c,France,22.0,4.6,0.4,0.1,384.0
Weetabix,Weetabix,a,France,4.2,10.0,0.28,0.6,362.0
"Muesli bio 36% fruits, noix & graines",Jordans,c,Belgique,18.9,8.5,0.03,2.8,373.0
Corn Flakes,Tesco,c,France,5.5,3.5,0.59,0.3,384.0
